"combination","total"
"Documentary, Drama, Music","61"
"Documentary, Drama, Mystery","21"
"Documentary, Drama, Romance","24"
"Documentary, Drama, Science Fiction","10"
"Documentary, Drama, Thriller","8"
"Documentary, Drama, TV Movie","42"
"Documentary, Drama, War","32"
"Documentary, Drama, Western","2"
"Documentary, Family, Fantasy","4"
"Documentary, Family, History","24"
"Documentary, Family, Music","22"
"Documentary, Family, Romance","1"
"Documentary, Family, Science Fiction","1"
"Documentary, Family, TV Movie","10"
"Documentary, Family, War","1"
"Documentary, Family, Western","2"
"Documentary, Fantasy, Horror","5"
"Documentary, Fantasy, Music","6"
"Documentary, Fantasy, Mystery","4"
"Documentary, Fantasy, Science Fiction","5"
"Documentary, Fantasy, Thriller","2"
"Documentary, Fantasy, TV Movie","1"
"Documentary, Fantasy, War","2"
"Documentary, History, Horror","8"
"Documentary, History, Music","132"
"Documentary, History, Mystery","16"
"Documentary, History, Romance","3"
"Documentary, History, Science Fiction","1"
"Documentary, History, TV Movie","270"
"Documentary, History, War","145"
"Documentary, History, Western","1"
"Documentary, Horror, Music","4"
"Documentary, Horror, Mystery","5"
"Documentary, Horror, Romance","2"
"Documentary, Horror, Science Fiction","9"
"Documentary, Horror, Thriller","16"
"Documentary, Horror, TV Movie","6"
"Documentary, Music, Mystery","1"
"Documentary, Music, Romance","4"
"Documentary, Music, Science Fiction","4"
"Documentary, Music, TV Movie","172"
"Documentary, Music, War","3"
"Documentary, Mystery, Romance","1"
"Documentary, Mystery, Science Fiction","1"
"Documentary, Mystery, Thriller","1"
"Documentary, Romance, TV Movie","2"
"Documentary, Science Fiction, TV Movie","6"
"Documentary, Science Fiction, War","1"
"Documentary, Thriller, TV Movie","1"
"Documentary, TV Movie, War","8"
"Documentary, TV Movie, Western","1"
"Drama, Action","3297"
"Drama, Adventure","1126"
"Drama, Animation","275"
"Drama, Comedy","14758"
"Drama, Crime","5719"
"Drama, Documentary","1174"
"Drama, Family, Fantasy","119"
"Drama, Family, History","59"
"Drama, Family, Horror","8"
"Drama, Family, Music","94"
"Drama, Family, Mystery","33"
"Drama, Family, Romance","460"
"Drama, Family, Science Fiction","32"
"Drama, Family, Thriller","41"
"Drama, Family, TV Movie","259"
"Drama, Family, War","49"
"Drama, Family, Western","17"
"Drama, Fantasy, History","33"
"Drama, Fantasy, Horror","279"
"Drama, Fantasy, Music","63"
"Drama, Fantasy, Mystery","141"
"Drama, Fantasy, Romance","299"
"Drama, Fantasy, Science Fiction","102"
"Drama, Fantasy, Thriller","99"
"Drama, Fantasy, TV Movie","64"
"Drama, Fantasy, War","18"
"Drama, Fantasy, Western","6"
